var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
,,,68367-2,"C: Bilirubin
P: SCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
,,,20409-9,"C: Erythrocytes
P: NCnc
T:  Pt
S: Urine
Sc. Qn
M: Test strip ",=,,,,,,,,,,,,,,,,,,,,
,,,57747-8,"C: Erythrocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
hb_u,LAB: (urine) haemoglobin (mg/dl),"C: Hemoglobin
P: mg/dl
T: Pt
S: Urine
Sc. Qn
M: ",726-0,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc. Qn
",=,3,,,,,,,,,,3,,,,,,,,,
,,,49137-3,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc. Qn
M: Test strip",=,,,,,,,,,,,,,,,,,,,,
,,,50559-4,"C: Hemoglobin
P: MCnc
T: Pt
S: Urine
Sc. Qn
M: Test strip.automated ",=,,,,,,,,,,,,,,,,,,,,
ust_farb,LAB: (urine) urine color,"C: Color
P: 
T: Pt
S: Urine
Sc: Nom
M: ",50553-7,"C: Color
P: Type
T: Pt
S: Urine
Sc: Nom
M: Auto ",=,2,,,,,,,,,,2,,,,,,,,,
,,,5778-6,"C: Color
P: Type
T: Pt
S: Urine
Sc: Nom
M: ",=,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
